search_engine,search_string,title,media,timestamp,link
Yahoo,Tata Lawsuits,Everything Apple says is wrong about the DOJ’s iPhone lawsuit,Digital Trends·  via Yahoo News,10 months ago,https://r.search.yahoo.com/_ylt=AwrjIcT196Bn_s0nAwvQtDMD;_ylu=Y29sbwNncTEEcG9zAzcEdnRpZANRMTIwMjUtU0RfMQRzZWMDc3I-/RV=2/RE=1738631285/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2ftech%2feverything-apple-says-wrong-doj-180017657.html/RK=2/RS=leaJKWMWJycQQ3mPLWminKnabYc-
Yahoo,Tata Lawsuits,Influencer Candice Miller selling personal items after late husband amassed $33.6m debt,The Independent·  via Yahoo News,1 month ago,https://r.search.yahoo.com/_ylt=AwrjIcT196Bn_s0nBQvQtDMD;_ylu=Y29sbwNncTEEcG9zAzgEdnRpZANRMTIwMjUtU0RfMQRzZWMDc3I-/RV=2/RE=1738631285/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2finfluencer-candice-miller-selling-personal-181930540.html%3ffr%3dsycsrp_catchall/RK=2/RS=072W.YLyNdOCYbzLOL4eeAIy7aU-
Yahoo,Tata Lawsuits,"Chief executives of Air India, Akasa joust over poaching of pilots",Reuters·  via Yahoo Finance,1 year ago,https://r.search.yahoo.com/_ylt=AwrjIcT196Bn_s0nBwvQtDMD;_ylu=Y29sbwNncTEEcG9zAzkEdnRpZANRMTIwMjUtU0RfMQRzZWMDc3I-/RV=2/RE=1738631285/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fchief-executives-air-india-akasa-075037899.html%3ffr%3dsycsrp_catchall/RK=2/RS=3hiJN9aU7Dfo_BdYqxiQgVzF2wI-
Yahoo,Tata Lawsuits,"Candice Miller Sued $195,000 for Unpaid Rent After Husband’s Death",E! News·  via Yahoo News,5 months ago,https://r.search.yahoo.com/_ylt=AwrjIcT196Bn_s0nCQvQtDMD;_ylu=Y29sbwNncTEEcG9zAzEwBHZ0aWQDUTEyMDI1LVNEXzEEc2VjA3Ny/RV=2/RE=1738631285/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2fcandice-miller-sued-195-000-190400708.html%3ffr%3dsycsrp_catchall/RK=2/RS=85YAFnX4exEnbAL1M_Vdie16TeQ-
Google,Tata Merger,"Tata Tech, just merge with Tata Elxsi",The Ken,3 days ago,https://the-ken.com/story/tata-tech-just-merge-with-tata-elxsi/
Google,Tata Merger,"Tata Capital, Tata Motors Finance merger receives RBI's approval",Business Standard,14 Oct 2024,https://www.business-standard.com/companies/news/tata-capital-tata-motors-finance-merger-receives-rbi-s-approval-124101401020_1.html
Google,Tata Merger,"Vedanta, UltraTech, Tata Motors among 8 mergers and demergers to track",The Economic Times,5 days ago,https://m.economictimes.com/markets/stocks/news/vedanta-ultratech-tata-motors-among-8-mergers-and-demergers-to-track/corporate-radar/slideshow/117677020.cms
Google,Tata Merger,Tata Sons & Singapore Airlines celebrate Vistara’s merger with Air India,CNBC TV18,18 Nov 2024,https://www.cnbctv18.com/business/aviation/tata-sons-singapore-airlines-celebrate-vistaras-merger-with-air-india-19511222.htm
Google,Tata Merger,How are Tata Group companies linked? Why Tata Capital’s IPO could unlock value across conglomerate,Upstox,1 month ago,https://upstox.com/news/business-news/latest-updates/explained-why-tata-capital-s-potential-ipo-impacting-tata-group-stocks-how-are-the-companies-linked/article-136880/
Google,Tata Merger,"Merger with Tata Motors Finance will broaden Tata Capital’s product portfolio, says Fitch",The Hindu BusinessLine,24 Jun 2024,https://www.thehindubusinessline.com/companies/merger-with-tata-motors-finance-will-broaden-tata-capitals-product-portfolio-says-fitch/article68327326.ece
Google,Tata Merger,Air India-Vistara Merger: Strategic Win or Tata’s Gamble?,Skift,17 Sept 2024,https://skift.com/2024/09/17/air-india-vistara-merger-strategic-win-or-tatas-gamble/
Google,Tata Merger,Bharti Airtel-Tata Play entity may not have representatives from Tata Group on board,Business Today,4 weeks ago,https://www.businesstoday.in/latest/corporate/story/bharti-airtel-tata-play-entity-may-not-have-representatives-from-tata-group-on-board-459793-2025-01-07
Google,Tata Merger,Air India-Vistara merger completed: Tata-group airline becomes India’s largest international carrier; here’s how,mint,12 Nov 2024,https://www.livemint.com/companies/news/air-india-vistara-merger-completes-singapore-airlines-to-invest-rs-3-194-5-crore-in-indias-largest-international-carti-11731413602450.html
Google,Tata Merger,CCI Approves Proposed Merger Of Tata Motors Finance Limited With Tata Capital Limited,Live Law,12 Sept 2024,https://www.livelaw.in/consumer-cases/cci-approves-proposed-merger-of-tata-motors-finance-limited-with-tata-capital-limited-269464
Bing,Tata Merger,Tata Capital and Tata Motors Finance merger: NCLT asks NBFCs to seek shareholders' nod,Msn,1mon,https://www.msn.com/en-in/money/other/tata-capital-and-tata-motors-finance-merger-nclt-asks-nbfcs-to-seek-shareholders-nod/ar-AA1vqs54?ocid=BingNewsVerp
Bing,Tata Merger,Tata Capital sets stage for IPO with articles of association update,Business-standard,2d,https://www.business-standard.com/markets/ipo/tata-capital-sets-stage-for-ipo-with-articles-of-association-update-125013101256_1.html
Bing,Tata Merger,The Making Of An FMCG Giant,Tata,4y,https://www.tata.com/newsroom/business/making-fmcg-giant-tata-consumer-products
Bing,Tata Merger,Tata Sons seeks CCI clearance to acquire additional 10% stake in Tata Play,Msn,9d,https://www.msn.com/en-in/money/news/tata-sons-seeks-cci-clearance-to-acquire-additional-10-pc-stake-in-tata-play/ar-AA1xNk2j?ocid=BingNewsVerp
Bing,Tata Merger,Air India-Vistara Merger: Tata gets a key task done to move towards merging four airlines into two,Msn,7mon,https://www.msn.com/en-in/autos/news/air-india-vistara-merger-tata-gets-a-key-task-done-to-move-towards-merging-four-airlines-into-two/ar-BB1pAK8J?ocid=BingNewsVerp
Bing,Tata Merger,tata steel merger,Fortuneindia,2y,https://www.fortuneindia.com/topic/tata-steel-merger
Bing,Tata Merger,Tata Group announces merger of Vistara and Air India,News24online,2y,https://news24online.com/business/tata-group-announces-merger-of-vistara-and-air-india/65590/
Bing,Tata Merger,"Temasek, Ratan Tata Give Green Signal To Snapdeal Flipkart Merger",Inc42,7y,https://inc42.com/buzz/temasek-snapdeal-flipkart-merger/
Bing,Tata Merger,Discussion Tata Play Users: Which Essential Features Should Airtel Keep Post-Merger,Dreamdth,6y,https://dreamdth.com/community/threads/tata-play-users-which-essential-features-should-airtel-keep-post-merger.148741/
Bing,Tata Merger,Tata Steel Merger,Moneycontrol,2y,https://www.moneycontrol.com/news/tags/tata-steel-merger.html
Yahoo,Tata Merger,"Ratan Tata, austere Indian tycoon who bought Jaguar Land Rover but lost a fortune on British steel",The Telegraph·  via Yahoo Finance,4 months ago,https://r.search.yahoo.com/_ylt=AwrjIcQA.KBnLzgnekDQtDMD;_ylu=Y29sbwNncTEEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1738631296/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fratan-tata-austere-indian-tycoon-150523359.html%3ffr%3dsycsrp_catchall/RK=2/RS=g5ZHedUCxSYcLs7nXtVqP5IoKQ8-
Yahoo,Tata Merger,"Disney strikes deal to sell stake in India's Tata Play, Bloomberg News reports",Reuters·  via Yahoo Finance,8 months ago,https://r.search.yahoo.com/_ylt=AwrjIcQA.KBnLzgnfEDQtDMD;_ylu=Y29sbwNncTEEcG9zAzIEdnRpZAMEc2VjA3Ny/RV=2/RE=1738631296/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fdisney-strikes-deal-sell-stake-161500120.html%3ffr%3dsycsrp_catchall/RK=2/RS=cLo.NrgBK38D__2l0LdGee8VNno-
Yahoo,Tata Merger,"India's Tata Sons raises stake in Tata Play, Temasek exits, Economic Times reports",Reuters·  via Yahoo Finance,9 months ago,https://r.search.yahoo.com/_ylt=AwrjIcQA.KBnLzgnfkDQtDMD;_ylu=Y29sbwNncTEEcG9zAzMEdnRpZAMEc2VjA3Ny/RV=2/RE=1738631296/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2findias-tata-sons-raises-stake-034639433.html%3ffr%3dsycsrp_catchall/RK=2/RS=NcURSX.GUQgsqNcTHtrqFz6nfqY-
Yahoo,Tata Merger,Disney Is Said to Sell Stake in Tata’s India TV Platform,Bloomberg·  via Yahoo Finance,8 months ago,https://r.search.yahoo.com/_ylt=AwrjIcQA.KBnLzgngEDQtDMD;_ylu=Y29sbwNncTEEcG9zAzQEdnRpZAMEc2VjA3Ny/RV=2/RE=1738631296/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fdisney-said-sell-stake-tata-022649109.html%3ffr%3dsycsrp_catchall/RK=2/RS=xk3qr4cTIN_SyO7KPH2rC3Wq1PI-
Yahoo,Tata Merger,Air India CEO meets India antitrust chief on pending Vistara merger -sources,Reuters·  via Yahoo Finance,2 years ago,https://r.search.yahoo.com/_ylt=AwrjIcQA.KBnLzgngkDQtDMD;_ylu=Y29sbwNncTEEcG9zAzUEdnRpZAMEc2VjA3Ny/RV=2/RE=1738631296/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fair-india-ceo-meets-india-112842687.html%3ffr%3dsycsrp_catchall/RK=2/RS=OhGH7ZQcNP1Nhf1mao_NmsZnW80-
Yahoo,Tata Merger,Air India strives to revive its fortunes with Tata money,Reuters·  via Yahoo Finance,2 years ago,https://r.search.yahoo.com/_ylt=AwrjIcQA.KBnLzgnhEDQtDMD;_ylu=Y29sbwNncTEEcG9zAzYEdnRpZAMEc2VjA3Ny/RV=2/RE=1738631296/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fair-india-strives-revive-fortunes-153729188.html%3ffr%3dsycsrp_catchall/RK=2/RS=aT1kFHOW0HDO2bhxlfqNaI2CBJw-
Yahoo,Tata Merger,Deal to create one of world’s largest airline groups gets regulator approval,The Independent US·  via AOL,5 months ago,https://r.search.yahoo.com/_ylt=AwrjIcQA.KBnLzgnhkDQtDMD;_ylu=Y29sbwNncTEEcG9zAzcEdnRpZAMEc2VjA3Ny/RV=2/RE=1738631296/RO=10/RU=https%3a%2f%2fwww.aol.com%2fdeal-create-one-world-largest-114826582.html/RK=2/RS=UG5dXkNoF84CK8_4NJ0.vT7cvgk-
Yahoo,Tata Merger,Air India to operate Vistara flights from November as merger gets key approval,Reuters·  via Yahoo Finance,5 months ago,https://r.search.yahoo.com/_ylt=AwrjIcQA.KBnLzgniEDQtDMD;_ylu=Y29sbwNncTEEcG9zAzgEdnRpZAMEc2VjA3Ny/RV=2/RE=1738631296/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fsingapore-airlines-gets-indias-fdi-004403487.html%3ffr%3dsycsrp_catchall/RK=2/RS=bDbpbLoPjPw8m5XKG9t1pe237w0-
Yahoo,Tata Merger,,Investing.com·  via Yahoo Finance,1 year ago,
Yahoo,Tata Merger,"India flags antitrust concerns with Air India, Vistara merger -sources",Reuters·  via Yahoo Finance,2 years ago,https://r.search.yahoo.com/_ylt=AwrjIcQA.KBnLzgni0DQtDMD;_ylu=Y29sbwNncTEEcG9zAzEwBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1738631296/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2findia-antitrust-body-examining-air-042537209.html%3ffr%3dsycsrp_catchall/RK=2/RS=6Rql00BljHaYDZRKj.EH5OaCVe0-
Google,Tata Bankruptcy,"Meet India’s first female tennis Olympian whose diamond saved Tata Steel from bankruptcy, she is Ratan Tata’s",India.Com,4 Nov 2024,https://www.india.com/business/meet-indias-first-female-tennis-olympian-lady-meherbai-tata-whose-diamond-saved-tata-steel-from-bankruptcy-she-is-ratan-tatas-aunt-7367214/
Google,Tata Bankruptcy,Ratan Tata got 'revenge' by buying Jaguar and Land Rover after facing 'humiliation' by Ford | INSIDE STORY,India TV News,10 Oct 2024,https://www.indiatvnews.com/business/news/ratan-tata-got-revenge-by-buying-jaguar-and-land-rover-after-facing-humiliation-by-ford-2008-deal-2024-10-10-956468
Google,Tata Bankruptcy,"How Ford's insult led Ratan Tata to buy Jaguar, Land Rover",Times of India,10 Oct 2024,https://timesofindia.indiatimes.com/business/india-business/how-fords-insult-led-ratan-tata-to-buy-jaguar-land-rover/articleshow/114119073.cms
Google,Tata Bankruptcy,TATA Steel’s Acquisition of Bhushan Steel: CESTAT Rules Appeals Abate Post NCLT RP Approval Under IBC,Taxscan,1 month ago,https://www.taxscan.in/tata-steel-took-over-bhushan-steel-cestat-clarifies-appeals-are-abated-post-rp-approval-by-nclt-under-ibc-it-becomes-functus-officio/473401/
Google,Tata Bankruptcy,Once India-bound EV startup Fisker files for bankruptcy,HT Auto,18 Jun 2024,https://auto.hindustantimes.com/auto/electric-vehicles/indiabound-ev-startup-fisker-files-for-bankruptcy-41718695865554.html
Google,Tata Bankruptcy,Tupperware Bankruptcy: Netizens Reminisce & React To The Fallen Icon Of Kitchenware,Free Press Journal,19 Sept 2024,https://www.freepressjournal.in/business/tupperware-bankruptcy-netizens-reminisce-react-to-the-fallen-icon-of-kitchenware
Google,Tata Bankruptcy,"Meet man, Ratan Tata ousted him from three Tata firms, his airline went bankrupt, still one of India's riches",India.Com,1 month ago,https://www.india.com/business/meet-man-ratan-tata-ousted-him-from-three-tata-firms-his-airline-went-bankrupt-still-one-of-indias-richest-with-net-worth-of-rs-44000-crores-his-son-is-ness-wadia-7470806/
Google,Tata Bankruptcy,TATA Health Navigates Financial Challenges Amid Bankruptcy,TipRanks,1 month ago,https://www.tipranks.com/news/company-announcements/tata-health-navigates-financial-challenges-amid-bankruptcy
Google,Tata Bankruptcy,"How Ratan Tata bailed out Ford by buying Jaguar-Land Rover, despite the American firm humiliating him years before",The Hindu,10 Oct 2024,https://www.thehindu.com/business/Industry/how-ratan-tata-bailed-out-ford-by-buying-jaguar-land-rover-despite-the-american-firm-humiliating-him-years-before/article68740015.ece
Google,Tata Bankruptcy,How Tata Steel turned around bankrupt Bhushan Steel,Business Today,18 May 2021,https://www.businesstoday.in/latest/corporate/story/how-tata-steel-turned-around-bankrupt-bhushan-steel-296337-2021-05-18
Bing,Tata Bankruptcy,"Noel Tata scripts history, Tata Steel becomes first Indian company to…, helps India to achieve…",Msn,14h,https://www.msn.com/en-in/society-culture-and-history/history/noel-tata-scripts-history-tata-steel-becomes-first-indian-company-to-helps-india-to-achieve/ar-AA1yisZy?ocid=BingNewsVerp
Bing,Tata Bankruptcy,"Ratan Tata changed the date of 7 companies, they are now doing super business, these companies are...",Msn,3mon,https://www.msn.com/en-in/autos/news/ratan-tata-changed-the-date-of-7-companies-they-are-now-doing-super-business-these-companies-are/ar-AA1scPGS?ocid=BingNewsVerp
Bing,Tata Bankruptcy,"Meet India's first female Tennis Olympian, whose diamond once saved Tata Steel from bankruptcy, was wife of…",Dnaindia,3mon,https://www.dnaindia.com/education/report-meet-india-female-tennis-olympian-lady-meherbai-tata-diamond-once-saved-tata-steel-from-bankruptcy-3114331
Bing,Tata Bankruptcy,TATA Health Navigates Financial Challenges Amid Bankruptcy,Nasdaq,1mon,https://www.nasdaq.com/articles/tata-health-navigates-financial-challenges-amid-bankruptcy
Bing,Tata Bankruptcy,Ratan Tata Birth Anniversary: Honour The Legacy Of A Visionary Leader,Msn,1mon,https://www.msn.com/en-in/society-culture-and-history/general/ratan-tata-birth-anniversary-honour-the-legacy-of-a-visionary-leader/ar-AA1wC7dF?ocid=BingNewsVerp
Yahoo,Tata Bankruptcy,Go First's bankruptcy has fueled mass resignations and higher air fares,Quartz·  via Yahoo News,2 years ago,https://r.search.yahoo.com/_ylt=AwrjIcQK.KBniUAk6znQtDMD;_ylu=Y29sbwNncTEEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1738631306/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2ftech%2ffirsts-bankruptcy-fueled-mass-resignations-101500639.html/RK=2/RS=AnB3eDhFSdevbFZ09E.i_UY23.M-
Yahoo,Tata Bankruptcy,"India's Go First touts owner, govt backing after bankruptcy filing",Reuters·  via Yahoo Finance,2 years ago,https://r.search.yahoo.com/_ylt=AwrjIcQK.KBniUAk7TnQtDMD;_ylu=Y29sbwNncTEEcG9zAzIEdnRpZAMEc2VjA3Ny/RV=2/RE=1738631306/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2findigo-shares-surge-smaller-rival-043606652.html%3ffr%3dsycsrp_catchall/RK=2/RS=eF3fkG1Jrww.mvSm.ANfw9IfUKE-
Yahoo,Tata Bankruptcy,"India's Go First airline files for bankruptcy, blames Pratt & Whitney engines",Reuters·  via Yahoo Finance,2 years ago,https://r.search.yahoo.com/_ylt=AwrjIcQK.KBniUAk7znQtDMD;_ylu=Y29sbwNncTEEcG9zAzMEdnRpZAMEc2VjA3Ny/RV=2/RE=1738631306/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2findias-first-airline-files-bankruptcy-101608770.html%3ffr%3dsycsrp_catchall/RK=2/RS=lMdn1p6OnAgen81DhxEBq2JoIOY-
Yahoo,Tata Bankruptcy,"India's Go First airline gains bankruptcy protection, lessors' woes deepen",Reuters·  via Yahoo Finance,2 years ago,https://r.search.yahoo.com/_ylt=AwrjIcQK.KBniUAk8TnQtDMD;_ylu=Y29sbwNncTEEcG9zAzQEdnRpZAMEc2VjA3Ny/RV=2/RE=1738631306/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2findia-decide-first-bankruptcy-lessors-022933369.html%3ffr%3dsycsrp_catchall/RK=2/RS=yRWOd.BTapoyVoeWVXBsozkLSfI-
Yahoo,Tata Bankruptcy,Is JinkoSolar Holding Co (JKS) Too Good to Be True? A Comprehensive Analysis of a Potential ...,GuruFocus.com·  via Yahoo Finance,1 year ago,https://r.search.yahoo.com/_ylt=AwrjIcQK.KBniUAk8znQtDMD;_ylu=Y29sbwNncTEEcG9zAzUEdnRpZAMEc2VjA3Ny/RV=2/RE=1738631306/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fjinkosolar-holding-co-jks-too-233747157.html%3ffr%3dsycsrp_catchall/RK=2/RS=BqAgyRecuP8PxawVHdbN19H7hEs-
Yahoo,Tata Bankruptcy,Is Viasat (VSAT) Too Good to Be True? A Comprehensive Analysis of a Potential Value Trap,GuruFocus.com·  via Yahoo Finance,1 year ago,https://r.search.yahoo.com/_ylt=AwrjIcQK.KBniUAk9TnQtDMD;_ylu=Y29sbwNncTEEcG9zAzYEdnRpZAMEc2VjA3Ny/RV=2/RE=1738631306/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fviasat-vsat-too-good-true-234134524.html%3ffr%3dsycsrp_catchall/RK=2/RS=MgWWuzoedcffn.4Nm3cQk_xj0jo-
Yahoo,Tata Bankruptcy,"Influencer Selling Hamptons Estate, Moving to Miami After Husband’s Suicide",The Daily Beast·  via Yahoo News,6 months ago,https://r.search.yahoo.com/_ylt=AwrjIcQK.KBniUAk9znQtDMD;_ylu=Y29sbwNncTEEcG9zAzcEdnRpZAMEc2VjA3Ny/RV=2/RE=1738631306/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fentertainment%2finfluencer-selling-hamptons-estate-moving-161611211.html%3ffr%3dsycsrp_catchall/RK=2/RS=xH2.cb2iz4aYFHWJr2.OY3s11kE-
Yahoo,Tata Bankruptcy,When You're Here You're Family: The New Neighborhood Beauty Shops,Town & Country·  via Yahoo News,1 year ago,https://r.search.yahoo.com/_ylt=AwrjIcQK.KBniUAk.TnQtDMD;_ylu=Y29sbwNncTEEcG9zAzgEdnRpZAMEc2VjA3Ny/RV=2/RE=1738631306/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2flifestyle%2fyoure-youre-family-neighborhood-beauty-180000890.html%3ffr%3dsycsrp_catchall/RK=2/RS=nFaaL40inFlQLJSC.BiHINqLRFI-
Yahoo,Tata Bankruptcy,India is now the most populous country in the world. And it’s ready to become a tourism force,CNN·  via Yahoo News,2 years ago,https://r.search.yahoo.com/_ylt=AwrjIcQK.KBniUAk.znQtDMD;_ylu=Y29sbwNncTEEcG9zAzkEdnRpZAMEc2VjA3Ny/RV=2/RE=1738631306/RO=10/RU=https%3a%2f%2fnews.yahoo.com%2findia-now-most-populous-country-015347798.html%3ffr%3dsycsrp_catchall/RK=2/RS=3tcCAcQHppXKdKJvXK6V7ypUoQY-
